station,city,code
北京,北京市,51
唐山北,唐山市,841
北戴河,秦皇岛市,709
沈阳,沈阳市,788
沈阳南,沈阳市,788
辽中,辽中区,535
锦州南,锦州市,447
蓟州,天津市,848
葫芦岛北,葫芦岛市,346
盘锦北,北镇市,57
沈阳北,沈阳市,788
台安,泰安市,836
秦皇岛,秦皇岛市,709
山海关,秦皇岛市,709
绥中北,葫芦岛市,346
公主岭南,四平市,815
长春,长春市,1134
昌图西,铁岭市,858
铁岭西,银州区,1059
四平东,四平市,815
吉林,吉林市,392
蛟河西,蛟河市,434
敦化,敦化市,184
安图西,安图县,14
延吉西,延吉市,1021
图们北,图们市,873
珲春,珲春市,379
开原西,开原市,472
长春西,长春市,1134
扶余北,松原市,821
哈尔滨西,哈尔滨市,283
宾州,贵港市,279
方正,哈尔滨市,283
高楞,定西市,158
依兰,宜蘭縣,1051
佳木斯,前进区,702
德惠西,长春市,1134
东戴河,葫芦岛市,346
哈尔滨,哈尔滨市,283
肇东,正阳区办事处,1161
安达,新兴街道办事处,990
大庆东,龙凤区,562
齐齐哈尔南,建华区,418
大连北,中山区,1168
瓦房店西,瓦房店市,877
营口东,营口市,1065
鲅鱼圈,营口市,1065
普湾,大连市,131
盖州西,营口市,1065
盘锦,盘锦市,661
滦县,唐山市,841
海城西,海城市,286
鞍山西,铁东区,856
辽阳,辽阳市,533
哈尔滨北,哈尔滨市,283
大庆西,东风街道办事处,163
双城北,双城区,806
南宁东,南宁市,637
广州南,广州市,275
贵阳北,贵阳市,280
郑州,郑州市,1162
许昌东,魏都区,894
漯河西,源汇区,1109
驻马店西,驻马店市,1178
信阳东,阳江市,1036
共青城,九江市,465
永修,九江市,465
南昌西,贤士湖管理处,953
抚州,抚州市,231
南城,抚州市,231
南丰,九江市,465
泰宁,泰宁县,838
将乐,绛县,432
三明北,三明市,745
尤溪,尤溪县,1081
永泰,福州市,228
福州,福州市,228
德安,九江市,465
庐山,九江市,465
瑞昌西,九江市,465
西安北,西安市,925
渭南北,渭南市,893
华山北,渭南市,893
三门峡南,崖底街道,1018
洛阳龙门,洛阳市,582
郑州西,郑州市,1162
郑州东,商都路街道,768
徐州,徐州市,1009
南京,玄武区,1015
常州,常州市,82
无锡,无锡市,906
苏州,苏州市,824
上海,黄浦区,374
宝鸡南,宝鸡市,39
天水南,麦积区,593
定西北,定西市,158
兰州西,西固区,934
成都东,成都市,87
合川,町田市,156
重庆北,渝北区,1090
涪陵北,涪陵区,222
石柱县,石柱县,800
金寨,宿州市,1004
六安,六安市,558
合肥南,望湖街道,884
南京南,南京市,634
镇江,镇江市,1157
昆山南,苏州市,824
上海虹桥,闵行区,616
丹阳,丹阳市,143
潼南,讷河市,645
遂宁,遂宁市,829
汉口,武汉市,917
潜江,潜江市,704
宜昌东,伍家岗区,915
恩施,恩施州,194
利川,立川市,518
丰都,兴义市,1000
武汉,武汉市,917
天门南,天门市,849
仙桃西,仙桃市,951
荆州,荆州市,458
巴东,苗族自治州,615
建始,吉安市,391
长寿北,长寿区,1140
深圳北,深圳市,784
惠州南,惠州市,382
葵潭,揭阳市,437
潮阳,西屯區,941
潮汕,掛川市,265
角美,百色市,32
厦门北,厦门市,759
泉州,鲤城区,514
莆田,荔城区,522
福清,福州市,228
福州南,抚州市,231
罗源,罗源县,580
宁德,蕉城区,436
太姥山,和平區,312
台州,椒江区,433
临海,临海市,545
宁波,鄞州区,1060
庄桥,徳島市,148
余姚北,余姚市,1088
绍兴东,越城区,1115
绍兴北,越城区,1115
杭州东,杭州市,301
嘉善南,嘉善县,407
金山北,金山区,444
嘉兴南,南湖区,632
海宁西,海宁市,291
余杭,东湖街道,169
宁海,宁海县,654
温岭,温岭市,895
霞浦,宁德市,653
福鼎,福鼎市,224
